id,symbol,name,rank,consolidation_score,volume_stability_score,breakout_score,breakout_volume_score,rsi_score,ma_score,cap_score,consolidation_volatility,consolidation_range,volume_stability,breakout_price_change,breakout_volume_change,rsi_current,rsi_trend,ma_trend,market_cap,data_days,total_score
eos,eos,EOS,125,0,7,0,0,10,0,6,0.027319197240125954,0.2381693575297003,7,-3.1207364314271513,0,60.801233951506354,39.185203946030704,-5.719288785137621,722768209.7012569,361,2.875
flare-networks,flr,Flare,126,0,3,0,10,10,0,6,0.03547307375745918,0.23183512972058226,3,-10.348329318673011,10,49.39688651138351,29.88485996299091,-6.896704757088101,710964551.7413485,361,3.625
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,127,0,1,10,9,10,7,6,0.027831851133829993,0.21424540745912088,1,20.903012099161124,9,75.96255682050142,45.99681910729066,2.606740576751587,708930709.6017181,304,6.0
ecash,xec,eCash,128,0,0,7,10,10,4,6,0.031333001367055614,0.2806502652709156,0,7.965471907776767,10,61.20702932604748,26.82277105879809,-0.17140330405511772,706243811.4356344,361,5.0625
wormhole,w,Wormhole,129,0,0,0,10,10,0,6,0.05401690262886548,0.595536605888201,0,0.643557988502419,10,54.613854085063885,38.53151924839377,-9.487624769253111,692534682.1851643,222,3.25
gnosis,gno,Gnosis,130,0,4,10,10,4,10,6,0.035195139170987634,0.547766860795278,4,58.76703537344685,10,65.70568461730812,9.093527397757917,18.986042315586538,687468284.3526427,361,6.125
zcash,zec,Zcash,131,0,6,10,10,10,10,6,0.03862288679865991,0.5366775599857682,6,34.916550543195754,10,78.16866943606328,30.16357566644664,15.38440303872255,684128843.0021769,361,7.125
tezos,xtz,Tezos,132,0,7,0,10,10,1,6,0.027886288139761767,0.2368184324764787,7,0.07546907549673687,10,59.74471521878972,33.70674083719682,-3.323256475145797,679794644.6977067,361,4.25
arkham,arkm,Arkham,133,0,5,10,10,10,10,6,0.05944346097327928,0.6899614554527398,5,76.45211237182563,10,77.38163581926065,43.16373653652697,15.029614046054007,675697645.311503,361,7.0
tether-gold,xaut,Tether Gold,134,0,5,3,0,1,0,6,0.006555706993168604,0.1218685847033629,5,3.5594803803697728,0,36.91767075091326,3.786349286094648,2.5593136417854323,662152313.3024263,361,2.0625
l2-standard-bridged-weth-base,weth,L2 Standard Bridged WETH (Base),135,0,7,10,10,10,7,6,0.026519096219120075,0.1574352862539141,7,20.694041923719396,10,75.5549090398124,43.9569979342662,2.548210083355551,656098294.018723,83,6.875
